"Source:","/home/andrey/Desktop/Order 2024/Radio_SI4735-V5.1-var9999-nouveau/SI4735.kicad_sch"
"Date:","2024-03-11T19:46:28+0100"
"Tool:","Eeschema 8.0.0"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet","Description","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PARTREV","STANDARD","SUPPLIER","Sim.Device","Sim.Pins"
"1","2","C1, C2","1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","~","Unpolarized capacitor, small symbol","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","","","","","","","","","",""
"2","2","C3, C4","100nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor, small symbol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"3","3","C5, C8, C9","20uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","","","","","","",""
"4","3","C6, C7, C18","0.2uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","~","Polarized capacitor, small symbol","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","","","","","","","","","",""
"5","1","C10","33nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"6","1","C11","470nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"7","2","C12, C13","1000uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~","","~","Polarized capacitor, small symbol","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","","","","","","","","","","",""
"8","2","C14, C16","0.01uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"9","1","C15","20uF","Device:CP","Capacitor_SMD:C_1206_3216Metric","","","","","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"10","1","C17","100uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","~","Polarized capacitor, small symbol","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","","","","","","",""
"11","2","C19, C20","C_Small","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","~","Unpolarized capacitor, small symbol","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","","","","","","","","","",""
"12","1","C21","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"13","2","C22, C25","22pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"14","1","C23","10n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"15","2","C24, C26","4uF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","","~","Unpolarized capacitor","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","","","","","","","","","","",""
"16","3","D1, D2, D3","LED","Device:LED","LED_SMD:LED_1206_3216Metric","~","","~","Light emitting diode","LED_SMD:LED_1206_3216Metric","","","","","","","","","","",""
"17","3","D4, D5, D6","1N5402","Diode:1N5402","Diode_SMD:D_1206_3216Metric","http://www.vishay.com/docs/88516/1n5400.pdf","","http://www.vishay.com/docs/88516/1n5400.pdf","200V 3A General Purpose Rectifier Diode, DO-201AD","Diode_SMD:D_1206_3216Metric","","","","","","","","","","D","1=K 2=A"
"18","4","D7, D8, D9, D10","BAW75","Diode:BAW75","Diode_SMD:D_1206_3216Metric","http://www.vishay.com/docs/85550/baw75.pdf","","http://www.vishay.com/docs/85550/baw75.pdf","25V 0.45A Small Signal Switching Diode, DO-35","Diode_SMD:D_1206_3216Metric","","","","","","","","","","",""
"19","1","J1","Control Bus","Connector:Conn_01x12_Female","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~","","~","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","","","","","","","","","","",""
"20","1","J2","AudioJack3","Connector_Audio:AudioJack3","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","~","","~","Audio Jack, 3 Poles (Stereo / TRS)","Connector_Audio:Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal","","","","","","","","","","",""
"21","1","J3","FM_IN","Connector:Conn_01x02_Male","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","~","","~","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","","","","","","","","","","",""
"22","2","J4, J6","Conn_01x01_Pin","Connector:Conn_01x01_Pin","Connector_PinSocket_1.27mm:PinSocket_1x01_P1.27mm_Vertical","~","","~","Generic connector, single row, 01x01, script generated","Connector_PinSocket_1.27mm:PinSocket_1x01_P1.27mm_Vertical","","","","","","","","","","",""
"23","1","J5","AM_IN","Connector:Conn_01x02_Male","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","~","","~","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","","","","","","","","","","",""
"24","1","J7","Speaker","Connector:Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","","~","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","","","","","","","",""
"25","1","L1","L","Device:L","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC","~","","~","Inductor","Inductor_THT:L_Axial_L7.0mm_D3.3mm_P5.08mm_Vertical_Fastron_MICC","","","","","","","","","","",""
"26","1","L2","L","Device:L","Inductor_THT:L_Radial_D6.0mm_P4.00mm","~","","~","Inductor","Inductor_THT:L_Radial_D6.0mm_P4.00mm","","","","","","","","","","",""
"27","3","Q1, Q2, Q3","BC818","Transistor_BJT:BC818","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","0.8A Ic, 25V Vce, NPN Transistor, SOT-23","Package_TO_SOT_SMD:SOT-23","","","","","","","","","","",""
"28","8","R1, R2, R4, R7, R8, R11, R14, R19","100k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","",""
"29","5","R3, R9, R10, R21, R22","4.7k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","",""
"30","2","R5, R6","1k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","",""
"31","6","R12, R16, R18, R20, R23, R25","2k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","",""
"32","3","R13, R15, R17","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","",""
"33","2","R24, R26","3k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","~","Resistor","Resistor_SMD:R_1206_3216Metric","","","","","","","","","","",""
"34","1","U1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","","","","","","","","","",""
"35","1","U2","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","","","","","","","","","",""
"36","1","U3","TCA9517DR","TCA9517DR:TCA9517DR","TCA9517DR:SOIC127P599X175-8N","","","","","TCA9517DR:SOIC127P599X175-8N","Texas Instruments","1.75mm","","","","","D","IPC-7351B","","",""
"37","1","U4","TDA1517P","TDA1517P:TDA1517P/N3,112","TDA1517P:DIP254P762X470-18","","","","","TDA1517P:DIP254P762X470-18","","","TDA1517P/N3,112","1868379","70R9196","DIP-18","","","NXP","",""
"38","2","U5, U6","24LC256","Memory_EEPROM:24LC256","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf","","http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf","I2C Serial EEPROM, 256Kb, DIP-8/SOIC-8/TSSOP-8/DFN-8","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","","","","","","","","","",""
"39","1","U7","Si4735-D60-GU","RF_AM_FM:Si4735-D60-GU","Package_SO:SSOP-24_3.9x8.7mm_P0.635mm","http://www.silabs.com/Support%20Documents/TechnicalDocs/Si4730-31-34-35-D60.pdf","","http://www.silabs.com/Support%20Documents/TechnicalDocs/Si4730-31-34-35-D60.pdf","AM/FM/SW/LW Broadcast Radio Receiver with RDS/RBDS","Package_SO:SSOP-24_3.9x8.7mm_P0.635mm","","","","","","","","","","",""
"40","1","Y1","32.768kHz","Device:Crystal","Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal","~","","~","Two pin crystal","Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal","","","","","","","","","","",""
